,Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
0,TX0000000001,Brazil,70642,Offshore Transfer,1/1/13 0:00,Person_1101,Construction,USA,True,Legal,4.94396576356692,1,Bank_40,Singapore
1,TX0000000002,China,308761,Stocks Transfer,1/1/13 1:00,Person_7484,Luxury Goods,South Africa,False,Legal,5.217588074477215,0,Bank_461,Bahamas
2,TX0000000003,UK,319746,Stocks Transfer,1/1/13 2:00,Person_3655,Construction,Switzerland,True,Illegal,6.9040595973638155,3,Bank_387,Switzerland
3,TX0000000004,UAE,55036,Cash Withdrawal,1/1/13 3:00,Person_3226,Oil & Gas,Russia,False,Legal,6.1020969900717725,2,Bank_353,Panama
4,TX0000000005,South Africa,50838,Cryptocurrency,1/1/13 4:00,Person_7975,Real Estate,USA,True,Legal,3.7846098130856913,9,Bank_57,Luxembourg
5,TX0000000006,Russia,44638,Property Purchase,1/1/13 5:00,Person_4000,Arms Trade,Brazil,False,Legal,4.8256270561876855,3,Bank_436,Cayman Islands
6,TX0000000007,Switzerland,61918,Property Purchase,1/1/13 6:00,Person_2517,Oil & Gas,Brazil,False,Legal,4.99249174157731,8,Bank_452,Panama
7,TX0000000008,UAE,20751,Property Purchase,1/1/13 7:00,Person_4310,Real Estate,UK,False,Legal,7.28355958946394,5,Bank_88,Luxembourg
8,TX0000000009,Brazil,87362,Cryptocurrency,1/1/13 8:00,Person_8955,Arms Trade,India,False,Legal,4.5109440583777864,6,Bank_87,Panama
9,TX0000000010,China,305537,Offshore Transfer,1/1/13 9:00,Person_9585,Arms Trade,China,False,Illegal,6.98317884112689,0,Bank_404,Switzerland
10,TX0000000011,South Africa,966434,Offshore Transfer,1/1/13 10:00,Person_3241,Casinos,South Africa,True,Legal,4.485393184948346,1,Bank_273,Cayman Islands
11,TX0000000012,Switzerland,74090,Stocks Transfer,1/1/13 11:00,Person_9098,Arms Trade,UK,False,Legal,4.162897431426202,1,Bank_252,Switzerland
12,TX0000000013,Brazil,52620,Stocks Transfer,1/1/13 12:00,Person_643,Real Estate,Brazil,False,Legal,4.24502705455321,7,Bank_190,Cayman Islands
13,TX0000000014,South Africa,66102,Property Purchase,1/1/13 13:00,Person_3269,Real Estate,Singapore,False,Legal,4.2004417231577715,3,Bank_267,Luxembourg
14,TX0000000015,UK,200938,Stocks Transfer,1/1/13 14:00,Person_778,Construction,China,False,Legal,5.290188415317271,5,Bank_164,Switzerland
15,TX0000000016,China,722779,Offshore Transfer,1/1/13 15:00,Person_5538,Real Estate,Brazil,True,Legal,3.9666131198625676,6,Bank_211,Panama
16,TX0000000017,Switzerland,399427,Stocks Transfer,1/1/13 16:00,Person_8463,Real Estate,South Africa,True,Legal,4.965765429675395,1,Bank_311,Switzerland
17,TX0000000018,India,138696,Cash Withdrawal,1/1/13 17:00,Person_5269,Oil & Gas,South Africa,False,Legal,6.4497163033271,6,Bank_439,Cayman Islands
